,0,1,2
0,1. erä,1. erä,1. erä
1,#57 Markus Jokinen 2 min koukkaaminen,11:16,
2,"#11 Éric Perrin (15) 1-0#8 David Tomasek (22) , #13 Anton Stråka (1)",17:08  X  10762,
3,2. erä,2. erä,2. erä
4,"#55 Janne Kolehmainen (3) 2-0 VT#57 Markus Jokinen (4) , #5 Juuso Vainio (13)",22:57  X  10776,
5,#32 Jerry Turkulainen 2 min kampitus,23:26,
6,,32:52  X  10786,"#40 Mikko Nuutinen (11) 2-1#11 Ville-Vesa Vainiola (6) , #51 Ryan Wilson (13)"
7,#15 Juha-Pekka Hytönen 2 min estäminen,35:47,
8,,36:49  X  10791,"#13 Alexandre Texier (12) 2-2 YV#25 Otto Leskinen (21) , #20 Aleksi Klemetti (11)"
9,3. erä,3. erä,3. erä
10,JYP aikalisä,54:55,
11,,55:52,#21 Eetu Luostarinen 2 min estäminen
12,,58:44,KalPa aikalisä
13,,59:29,Maalivahti ulos: #30 Denis Godla
14,Jatkoaika,Jatkoaika,Jatkoaika
15,,60:00,Maalivahti sisään: #30 Denis Godla
16,#13 Anton Stråka 2 min maalivahdin estäminen,61:47,
17,,62:49  X  10816,"#21 Eetu Luostarinen (14) 2-3 YV, VM#25 Otto Leskinen (22) , #13 Alexandre Texier (25)"
18,Maalivahdit,Maalivahdit,Maalivahdit
19,#41  Eetu Laurikainen  4+12+10+0=26,Torjunnat,#30  Denis Godla  7+6+4+1=18  (pois:  59:29-60:00)
20,Pisteet,Pisteet,Pisteet
21,#55  Janne Kolehmainen  1+0=1,Pisteet,#13  Alexandre Texier  1+1=2
22,#11  Éric Perrin  1+0=1,,#25  Otto Leskinen  0+2=2
23,#57  Markus Jokinen  0+1=1,,#21  Eetu Luostarinen  1+0=1
24,#13  Anton Stråka  0+1=1,,#40  Mikko Nuutinen  1+0=1
25,#8  David Tomasek  0+1=1,,#20  Aleksi Klemetti  0+1=1
26,#5  Juuso Vainio  0+1=1,,#11  Ville-Vesa Vainiola  0+1=1
27,,,#51  Ryan Wilson  0+1=1
28,Rangaistukset,Rangaistukset,Rangaistukset
29,4 x 2 min  = 8 min,,1 x 2 min  = 2 min
30,Aloitusvoitot,Aloitusvoitot,Aloitusvoitot
31,6  + 11  + 9  + 2  = 28,,5  + 8  + 8  + 2  = 23
32,Ylivoimapeli,Ylivoimapeli,Ylivoimapeli
33,0,Yv-maalit,2
34,1,Yv-kerrat,4
35,0.0 %,Yv-prosentti,50.0 %
36,02:00,Yv-aika,06:04
37,Alumnien tähdet,Alumnien tähdet,Alumnien tähdet
38,Valitsija: Tommi Nikkilä,1. tähti,#21  Eetu Luostarinen  (1+0=1)
39,Valitsija: Tommi Nikkilä,2. tähti,#13  Alexandre Texier  (1+1=2)
40,#5  Juuso Vainio  (0+1=1),3. tähti,Valitsija: Tommi Nikkilä
41,Laukaisukartta,Laukaisukartta,Laukaisukartta
42,2,Maali,3
43,21,Ohi,16
44,18,Torjuttu,26
45,3,Blokattu,5
46,44,Yhteensä,50
