,name,id
0,"Aaltonen, Juhamatti",24242404
1,"Aho, Juhana",24280631
2,"Ahola, Aapo",29566680
3,"Ahonen, Rony",24260583
4,"Ahopelto, Erik",21288241
5,"Ahtola, Jerry",24272490
6,"Ainali, Aleksi",21292664
7,"Airola, Santeri",40005621
8,"Aittokallio, Sami",21296411
9,"Alho, Aku",24276289
10,"Allén, Roni",24182470
11,"Almari, Niclas",29780877
12,"And, Terry",28019536
13,"Annunen, Justus",32498965
14,"Antonen, Joose",29446865
15,"Anttila, Eetu",29948198
16,"Anttila, Sami",21330445
17,"Appelgren, Niklas",24271404
18,"Arrak, Robert",34399525
19,"Asplund, Turo",21345676
20,"Auk, Mark",100034133
21,"Autio, Erik",24270214
22,"Berger, Martin",29587960
23,"Bjorkstrand, Patrick",40354092
24,"Björninen, Hannes",24290689
25,"Blood, Ben",40371281
26,"Bonsaksen, Alexander",40339220
27,"Brejcak, Jan",100036798
28,"Budish, Zach",40435937
29,"Bäckström, Niklas",24288659
30,"Carson, Brett",40372124
31,"Claireaux, Valentin",40313185
32,"Cornet, Philippe",40432221
33,"Danforth, Justin",100034134
34,"DeFazio, Brandon",100035866
35,"Denisov, Vladimir",100032656
36,"Dostál, Lukáš",100030776
37,"Ek, Aleksi",30136368
38,"Ekeståhl-Jonsson, Lucas",100026486
39,"Elimäki, Roope",21399185
40,"Elorinne, Aleksi",21403877
41,"Engberg, Teemu",29695519
42,"Engren, Atte",21406421
43,"Erholtz, Eemil",29864256
44,"Erkinjuntti, Antti",21411429
45,"Eronen, Elmeri",23806498
46,"Eronen, Teemu",21415137
47,"Fairchild, Cade",100040993
48,"Filppula, Ilari",24315179
49,"Finley, Joe",40431556
50,"Flinck, Markku",21431409
51,"Flood, Mark",100031131
52,"Forsström, Jani",24318448
53,"Friberg, Jere",21440937
54,"Friman, Niklas",23837234
55,"Fälth, Elias",100027024
56,"Ganahl, Manuel",100033754
57,"Generous, Matt",40315931
58,"Godla, Denis",40385084
59,"Goodwin, David",100025916
60,"Gröndahl, Ari",24324348
61,"Gymer, Frank",25646106
62,"Haapanen, Topias",29870486
63,"Haaparanta, Mikko",30013834
64,"Haarala, Santeri",30936623
65,"Haas, Radek",100025786
66,"Haataja, Juha-Pekka",24451091
67,"Haatanen, Aleks",30636693
68,"Hakanpää, Jani",21494006
69,"Hakulinen, Anrei",21499603
70,"Halmo, Mike",100034958
71,"Hannukkala, Toni",24430148
72,"Harju, Heikki",30477098
73,"Haukeland, Henrik",100035404
74,"Heikkinen, Ilkka",24381077
75,"Heino, Lauri",27780756
76,"Heinola, Ville",32058428
77,"Helenius, Riku",24329479
78,"Heljanko, Christian",21589720
79,"Henritius, Teemu",21600081
80,"Henttonen, Toni",24701961
81,"Heponiemi, Aleksi",29955327
82,"Hermonen, Julius",24406130
83,"Heshka, Shaun",40428666
84,"Hietanen, Valtteri",24421720
85,"Honka, Anttoni",28705727
86,"Hopponen, Erno",24393683
87,"Hotakainen, Valtteri",21659838
88,"Huhtanen, Tuomas",21667257
89,"Humaloja, Miska",21673131
