,#,Nimi,Joukkue,PP,O,M,S,P,R,+,-,±,YV,AV,VM,L,L%,A,A%,Aika
0,1.0,"Leskinen, Ville",Kärpät,OH,54,28,25,53,12,48,19,29,4,0,8,267,105,16,250,17:22
1,2.0,"Strömwall, Malte",KooKoo,OH,48,26,27,53,48,37,32,5,15,0,4,294,88,10,200,17:11
2,3.0,"Turunen, Teemu",HPK,OH,54,20,32,52,18,38,36,2,5,2,2,259,77,2,500,18:53
3,4.0,"Kuusela, Kristian",Tappara,OH,57,18,34,52,14,49,34,15,1,1,4,178,101,10,200,20:05
4,5.0,"Danforth, Justin",Lukko,OH,56,16,34,50,48,43,34,9,4,1,2,239,67,906,578,19:56
5,6.0,"Kaski, Oliwer",Pelicans,OP,55,17,30,47,6,45,40,5,10,0,2,368,46,0,-,20:42
6,7.0,"Saarinen, Jesse",Pelicans,VH,50,13,34,47,14,41,31,10,4,0,0,180,72,6,00,18:09
7,8.0,"Palve, Oula",TPS,KH,50,16,29,45,77,34,31,3,5,0,4,219,73,775,569,18:00
8,9.0,"Immonen, Jarkko",JYP,KH,57,15,30,45,42,38,31,7,3,0,3,259,58,1094,606,18:35
9,10.0,"Heponiemi, Aleksi*",Kärpät,OH,46,16,28,44,6,41,24,17,1,0,4,117,137,53,415,15:33
10,11.0,"Kalapudas, Antti",Sport,KH,52,11,33,44,10,34,33,1,1,0,5,146,75,635,466,16:17
11,12.0,"Thorell, Erik",HIFK,VH,43,21,22,43,6,49,25,24,4,0,2,159,132,8,250,17:19
12,13.0,"Pitkänen, Miikka",KooKoo,KH,56,16,27,43,44,39,36,3,4,0,3,196,82,818,462,17:09
13,14.0,"Ilomäki, Arttu",Lukko,KH,57,13,30,43,28,33,27,6,3,2,5,190,68,1018,541,18:43
14,15.0,"Innala, Jere",HPK,VH,57,22,19,41,16,36,38,-2,7,0,3,234,94,31,355,17:37
15,16.0,"Vauhkonen, Olavi",Sport,OH,52,17,24,41,18,40,30,10,6,0,1,207,82,114,474,16:47
16,17.0,"Salminen, Sakari",HIFK,VH,53,13,27,40,26,33,39,-6,3,0,0,174,75,1,1000,18:13
17,18.0,"Ruotsalainen, Arttu",Ilves,KH,55,21,18,39,14,41,30,11,5,2,4,230,91,1136,556,21:04
18,19.0,"DeFazio, Brandon",Lukko,VH,56,19,20,39,78,41,30,11,8,0,2,203,94,11,364,17:39
19,20.0,"Lepaus, Teemu",Ilves,VH,56,16,23,39,26,31,31,0,2,0,2,188,85,80,375,16:23
