,#,Nimi,Joukkue,PP,O,L+,L-,L±,COR%,COR%-C,HPA,PPA,PA%,L%,T%,PDO
0,1.0,"Radke, Roy+",SaiPa,OH,1,5,5,0,500,500,4,1,800,333,1000,1333
1,2.0,"Ylitalo, Eemeli*",Sport,OP,3,19,18,1,514,500,9,9,500,250,1000,1250
2,3.0,"Jantunen, Jonne+",Pelicans,OH,3,13,9,4,591,550,11,4,733,200,1000,1200
3,4.0,"Valtola, Olli*",TPS,VH,2,7,5,2,583,583,4,3,571,200,1000,1200
4,5.0,"Harju, Heikki*",Sport,OH,2,13,23,-10,361,361,3,12,200,167,1000,1167
5,6.0,"#  Karalahti, Keni",Pelicans,OP,2,22,26,-4,458,454,11,13,458,210,923,1134
6,7.0,"Huttula, Joona*",Kärpät,VP,5,42,38,4,525,552,14,15,483,240,893,1133
7,8.0,"Jaakola, Konsta*",KooKoo,OH,4,13,18,-5,419,419,7,13,350,125,1000,1125
8,9.0,"Nikkanen, Henri*+",Jukurit,KH,9,51,64,-13,444,431,30,36,454,231,885,1115
9,10.0,"Kouvalainen, Pasi",Pelicans,OH,1,12,4,8,750,909,6,1,857,111,1000,1111
10,11.0,"Ahola, Aapo*",Pelicans,VP,7,43,83,-40,341,356,24,34,414,130,979,1110
11,12.0,"Aaltonen, Juhamatti",Pelicans,OH,7,96,76,20,558,539,40,37,520,157,942,1099
12,13.0,"Mäkitalo, Roope*",Pelicans,OH,4,37,22,15,627,630,19,12,613,95,1000,1095
13,14.0,"Jokinen, Jussi",Kärpät,VH,10,122,90,32,576,595,48,37,565,174,911,1085
14,15.0,"Palojärvi, Antti*",Lukko,VP,16,70,83,-13,458,455,27,33,450,150,929,1079
15,16.0,"#  Kuusisto, Jaakko",HPK,VH,9,59,57,2,509,495,33,22,600,77,1000,1077
16,17.0,"Nieminen, Otto+",TPS,VH,34,272,250,22,521,512,133,146,477,146,929,1075
17,18.0,"Metsävainio, Tino*+",Kärpät,KH,27,231,245,-14,485,492,132,105,557,136,935,1071
18,19.0,"#  Wirtanen, Petteri",TPS,KH,17,194,197,-3,496,490,90,108,454,126,945,1071
19,20.0,"Ritamäki, Janne+",Jukurit,VH,11,89,86,3,509,513,40,52,435,120,950,1070
20,21.0,"Ohtamaa, Atte",Kärpät,VP,43,495,436,59,532,538,249,236,513,126,941,1067
21,22.0,"Vainikainen, Ville",SaiPa,VH,11,56,72,-16,438,436,24,34,414,138,929,1067
22,23.0,"Malinen, Jarkko",Tappara,KH,49,413,470,-57,468,486,218,254,462,132,935,1067
23,24.0,"Lasu, Nicklas",Kärpät,KH,55,627,479,148,567,572,278,247,530,102,962,1064
24,25.0,"Haarala, Santeri*",Sport,KH,11,99,115,-16,463,456,48,51,485,130,933,1063
25,26.0,"Pyörälä, Mika+",Kärpät,VH,45,439,336,103,566,564,237,187,559,136,927,1063
26,27.0,"Stråka, Anton*",JYP,KH,8,63,55,8,534,602,22,25,468,154,909,1063
27,28.0,"Zohorna, Hynek+",Pelicans,OH,45,473,489,-16,492,490,224,207,520,123,940,1062
28,29.0,"Virtanen, Santeri*+",SaiPa,KH,39,264,346,-82,433,422,143,196,422,113,948,1061
29,30.0,"Koblizek, Radek*",Kärpät,OH,49,488,411,77,543,546,238,206,536,100,961,1061
30,31.0,"Leskinen, Ville",Kärpät,OH,54,651,468,183,582,582,303,237,561,117,944,1061
31,32.0,"Vauhkonen, Olavi",Sport,OH,52,501,525,-24,488,480,225,278,447,136,924,1060
32,33.0,"Heshka, Shaun",Kärpät,OP,49,604,468,136,563,549,283,247,534,122,938,1060
33,34.0,"Kinnunen, Santtu*",Pelicans,OP,26,239,246,-7,493,489,124,110,530,114,946,1059
34,35.0,"#  Eklund, Oscar",JYP,OP,16,199,189,10,513,540,94,97,492,113,946,1059
35,36.0,"Lannon, Ryan",Sport,VP,6,32,33,-1,492,508,12,28,300,105,952,1058
36,37.0,"Ollikainen, Anton",Tappara,OH,10,60,32,28,652,667,29,23,558,57,1000,1057
37,38.0,"Oden, Joonas*",KooKoo,OH,16,111,144,-33,435,450,55,66,454,150,905,1055
38,39.0,"Osala, Oskar+",Kärpät,VH,27,271,248,23,522,506,141,122,536,101,954,1055
39,40.0,"Elorinne, Aleksi",Tappara,VP,51,393,493,-100,444,444,212,246,463,114,940,1054
40,41.0,"Thorell, Erik",HIFK,VH,43,495,359,136,580,571,211,164,563,166,886,1052
41,42.0,"Mäkelä, Aleksi",Kärpät,OP,48,449,418,31,518,522,238,203,540,126,924,1051
42,43.0,"Heponiemi, Aleksi*",Kärpät,OH,46,438,376,62,538,556,237,178,571,154,896,1050
43,44.0,"Koivisto, Henrik",HIFK,KH,13,70,92,-22,432,452,33,53,384,154,896,1050
44,45.0,"Záborský, Tomas",Tappara,VH,44,429,398,31,519,520,225,211,516,120,930,1050
45,46.0,"Kristof, Michal",Kärpät,KH,55,503,463,40,521,518,280,242,536,103,946,1049
46,47.0,"Rowley, Jordan",Pelicans,VP,11,155,132,23,540,527,81,82,497,113,936,1049
47,48.0,"Mustonen, Aleksi",Pelicans,KH,46,432,488,-56,470,463,208,219,487,137,913,1049
48,49.0,"Suhonen, Teemu",Tappara,OP,52,613,603,10,504,501,294,331,470,130,920,1049
49,50.0,"Lyytinen, Joonas",HIFK,OP,20,247,185,62,572,579,97,108,473,139,909,1048
50,51.0,"Saarinen, Jesse",Pelicans,VH,50,565,575,-10,496,484,273,234,538,122,926,1047
51,52.0,"Roine, Miika",Jukurit,OH,57,470,692,-222,404,401,212,347,379,125,922,1047
52,53.0,"Heinola, Ville*",Lukko,VP,31,313,300,13,511,522,162,158,506,112,933,1046
53,54.0,"Isiguzo, Bernard*",TPS,OP,14,37,47,-10,440,387,28,19,596,45,1000,1045
54,55.0,"#  Aaltonen, Leevi*",KalPa,VH,6,44,44,0,500,506,23,17,575,95,950,1045
55,56.0,"Kojo, Markus",SaiPa,VP,50,328,467,-139,413,417,157,234,402,101,943,1044
56,57.0,"Suoranta, Simon",TPS,VH,21,200,186,14,518,526,107,82,566,118,926,1044
57,58.0,"Hakanpää, Jani",Kärpät,OP,49,598,480,118,555,565,283,259,522,112,931,1043
58,59.0,"Ainali, Aleksi+",Sport,OH,45,414,454,-40,477,467,207,226,478,109,934,1043
59,60.0,"Pärssinen, Juuso*",TPS,KH,7,37,49,-12,430,500,22,22,500,42,1000,1042
60,61.0,"Laakso, Tapio",Lukko,KH,57,430,497,-67,464,480,217,224,492,116,925,1042
61,62.0,"Kivihalme, Teemu",Kärpät,VP,56,714,541,173,569,567,362,288,557,102,940,1042
62,63.0,"Levtchi, Anton",Tappara,OH,56,442,415,27,516,521,217,229,486,114,926,1040
63,64.0,"Kupari, Rasmus",Kärpät,KH,40,383,297,86,563,566,196,143,578,154,886,1040
64,65.0,"Matinpalo, Nikolas*",Ilves,OP,28,260,232,28,528,522,125,129,492,95,944,1039
65,66.0,"Blood, Ben",Tappara,VP,35,474,366,108,564,585,211,200,513,122,917,1039
66,67.0,"Lindsten, Jasper",Kärpät,VH,49,428,405,23,514,513,206,194,515,112,926,1039
67,68.0,"Oksanen, Emil*+",SaiPa,VH,20,119,174,-55,406,423,76,89,461,106,933,1039
68,69.0,"Siiki, Oskari",TPS,OH,40,239,272,-33,468,473,110,134,451,99,937,1036
69,70.0,"Nikko, Joni",SaiPa,OH,54,447,482,-35,481,485,224,257,466,117,919,1036
70,71.0,"Kuronen, Mikael",SaiPa,VH,29,200,201,-1,499,493,95,109,466,79,956,1035
71,72.0,"Ylönen, Jesse*",Pelicans,OH,49,466,442,24,513,504,252,209,547,110,925,1034
72,73.0,"Nevalainen, Niklas",Sport,OP,43,477,466,11,506,505,211,240,468,110,925,1034
73,74.0,"Jürgens, Casimir",Pelicans,VP,48,731,662,69,525,532,364,298,550,111,922,1034
74,75.0,"Kähkönen, Toni",KooKoo,VH,36,416,390,26,516,506,196,189,509,108,926,1034
75,76.0,"Nättinen, Julius",JYP,KH,39,373,333,40,528,553,179,151,542,107,927,1034
76,77.0,"Haapanen, Topias",Ilves,VH,45,277,311,-34,471,473,158,163,492,126,907,1033
77,78.0,"Piipponen, Samuli",Jukurit,OP,56,589,630,-41,483,483,296,331,472,101,932,1033
78,79.0,"Rask, Joonas",HIFK,OH,53,610,455,155,573,560,276,238,537,140,892,1032
79,80.0,"Ojamäki, Niko",Tappara,OH,55,601,533,68,530,536,276,275,501,115,917,1032
80,81.0,"Yonkman, Nolan",JYP,OP,29,284,324,-40,467,488,155,168,480,98,934,1032
81,82.0,"Vuorisalo, Teemu+",Ässät,OP,7,37,28,9,569,529,16,12,571,143,889,1032
82,83.0,"Viinikainen, Joonas*",JYP,VP,9,69,83,-14,454,480,33,35,485,51,980,1031
83,84.0,"Kuusela, Kristian",Tappara,OH,57,544,575,-31,486,498,280,285,496,117,912,1030
84,85.0,"Saarela, Antti*+",Lukko,KH,23,159,191,-32,454,460,93,82,531,108,922,1030
85,86.0,"Sevänen, Roni",Lukko,OP,55,516,589,-73,467,471,285,271,513,111,919,1030
86,87.0,"Väyrynen, Teemu",TPS,VH,56,433,531,-98,449,449,199,237,456,89,939,1029
87,88.0,"Ahtola, Jerry+",Ilves,KH,26,167,204,-37,450,460,81,100,448,105,924,1029
88,89.0,"Niemi, Jyri",Sport,OP,41,351,459,-108,433,419,162,233,410,115,912,1028
89,90.0,"Toivola, Artturi",Pelicans,KH,54,413,493,-80,456,463,247,232,516,109,920,1028
90,91.0,"Autio, Erik*",SaiPa,OP,47,480,500,-20,490,492,239,239,500,123,906,1028
91,92.0,"Lahtinen, Severi",Pelicans,VH,46,413,431,-18,489,484,194,194,500,103,924,1027
92,93.0,"Luoto, Joona",Tappara,VH,56,499,521,-22,489,486,246,246,500,94,932,1027
93,94.0,"Saari, Micke",SaiPa,KH,40,353,313,40,530,540,176,166,515,83,944,1027
94,95.0,"Teppo, Miihkali",Pelicans,VP,40,397,466,-69,460,467,200,210,488,107,919,1026
95,96.0,"DeFazio, Brandon",Lukko,VH,56,565,564,1,500,492,268,276,493,116,910,1026
96,97.0,"Utunen, Toni*",Tappara,VP,40,287,335,-48,461,464,143,155,480,71,955,1026
97,98.0,"Vittasmäki, Veli-Matti",Tappara,VP,43,474,479,-5,497,514,225,247,477,112,913,1025
98,99.0,"Kallela, Toni",Sport,VH,49,561,459,102,550,539,254,221,535,110,915,1025
99,100.0,"Tomasek, David",JYP,KH,53,626,556,70,530,526,274,247,526,84,940,1025
100,101.0,"Tuppurainen, Jani",JYP,VH,51,610,539,71,531,542,247,257,490,98,927,1025
101,102.0,"Lehtinen, Oskari",SaiPa,VH,40,219,251,-32,466,460,129,124,510,97,927,1024
102,103.0,"Heikkinen, Ilkka",TPS,OP,54,601,586,15,506,506,306,288,515,83,941,1024
103,104.0,"Kukkonen, Lasse",Kärpät,VP,55,451,464,-13,493,497,263,237,526,85,939,1024
104,105.0,"Kemiläinen, Valtteri",Tappara,OP,54,607,556,51,522,521,297,298,499,105,918,1024
105,106.0,"Kousa, Mikko",Pelicans,OP,47,730,657,73,526,522,371,275,574,122,902,1024
106,107.0,"Parikka, Jarkko",Ilves,VP,55,679,574,105,542,549,339,275,552,108,916,1024
107,108.0,"Virtanen, Jonne!",TPS,KH,54,400,445,-45,473,471,189,233,448,94,928,1023
108,109.0,"Leskinen, Ville",Jukurit,OH,39,345,309,36,528,522,171,196,466,84,939,1023
109,110.0,"Piskula, Joe+",TPS,VP,48,568,629,-61,474,481,281,320,468,88,935,1023
110,111.0,"Kiviranta, Joel",Sport,OH,44,446,399,47,528,530,212,186,533,107,916,1023
111,112.0,"Laavainen, Roope",HPK,OP,20,145,164,-19,469,449,84,92,477,89,934,1023
112,113.0,"Koivistoinen, Eetu",Lukko,VH,57,435,434,1,501,512,221,218,503,100,922,1022
113,114.0,"Niemelä, Mikko",Kärpät,OP,48,445,523,-78,460,459,244,240,504,94,928,1022
114,115.0,"Immonen, Jarkko",JYP,KH,57,745,674,71,525,543,321,313,506,87,935,1022
115,116.0,"Morley, Tyler",SaiPa,KH,55,532,544,-12,494,486,257,259,498,116,906,1022
116,117.0,"Tyrväinen, Juhani",HIFK,KH,52,598,488,110,551,541,272,249,522,133,888,1022
117,118.0,"Järvinen, Matti",Tappara,KH,56,536,422,114,560,556,242,236,506,115,907,1022
118,119.0,"Maalahti, Kalle",SaiPa,VP,57,605,641,-36,486,490,306,356,462,113,908,1021
119,120.0,"Vartiainen, Taavi",Pelicans,VH,56,460,514,-54,472,486,260,228,533,108,912,1020
120,121.0,"#  Lindroos, Alex*",JYP,VP,11,57,61,-4,483,462,31,33,484,97,923,1020
121,122.0,"#  Partanen, Mika",Jukurit,VH,30,249,365,-116,406,392,121,172,413,106,912,1019
122,123.0,"Manninen, Oskari",Sport,VP,48,626,636,-10,496,494,290,304,488,100,918,1019
123,124.0,"Lundell, Anton*",HIFK,KH,34,331,266,65,554,565,151,152,498,112,906,1018
124,125.0,"Lukka, Santeri",TPS,OP,49,592,636,-44,482,486,285,325,467,83,935,1018
125,126.0,"Iso-Mustajärvi, Tomi",SaiPa,KH,57,360,482,-122,428,436,204,253,446,72,944,1017
126,127.0,"Savilahti, Eero",Ilves,VH,25,171,193,-22,470,480,86,84,506,110,907,1017
127,128.0,"Tikka, Tommi",Sport,KH,44,388,410,-22,486,488,186,220,458,98,920,1017
