,Unnamed: 0,Pvm.,Aika,Ottelu,Linkit,Tulos,Unnamed: 6,Yleisöä
0,1,Pe 14.9.2018,18:30,JYP  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,JA,4307
1,2,,18:30,KalPa  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,JA,4025
2,3,,18:30,KooKoo  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,5 — 6,VL,4172
3,4,,18:30,Lukko  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,4290
4,5,,18:30,Sport  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3007
5,6,,18:30,Tappara  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,6544
6,7,,18:30,TPS  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,JA,7203
7,8,La 15.9.2018,17:00,HPK  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,VL,4291
8,9,,17:00,Ilves  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,,4752
9,10,,17:00,Jukurit  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,4 — 5,JA,3701
10,11,,17:00,Kärpät  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,5377
11,12,,17:00,SaiPa  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,7 — 3,,4022
12,13,,18:30,Pelicans  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,6 — 1,,4659
13,14,,18:30,Ässät  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,5376
14,15,Ti 18.9.2018,18:30,KalPa  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,2 — 0,,3014
15,16,,18:30,Sport  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,JA,2785
16,17,,18:30,TPS  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,VL,4519
17,18,Ke 19.9.2018,18:30,HPK  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3506
18,19,,18:30,JYP  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,3078
19,20,,18:30,KooKoo  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,8 — 3,,2666
20,21,,18:30,SaiPa  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,2579
21,22,To 20.9.2018,18:30,HIFK  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,6 — 2,,6389
22,23,,18:30,TPS  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,6 — 3,,5077
23,24,Pe 21.9.2018,18:30,Ilves  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,6 — 2,,4089
24,25,,18:30,Jukurit  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,VL,3090
25,26,,18:30,JYP  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,VL,3354
26,27,,18:30,Pelicans  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,3 — 0,,3588
27,28,La 22.9.2018,17:00,KooKoo  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,2812
28,29,,17:00,Lukko  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,3 — 5,,3211
29,30,,17:00,SaiPa  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,1 — 0,,4496
